SPORT, DATE, COMP, BET-TYPE, MATCH-UP, BET, ODDS, STAKE, BOOK, RESULT, +/-
Soccer, 05/01 03:00 05-01 15:00, GRE2 GRE2, Pre-Match, Ergotelis – Apollon L (15) 78' Ergotelis - Apollon L. (1-2) (10), 1 DNB over 3.5, 1.83 2.00,25, bet365, 1-2,-25
Soccer, 06/01 15:00 06-01 15:00, GRE2 GRE2, Live, 20′ Sparti – Irodotos (0-0) (5) 20' Sparti - Irodotos (0-0) (1), 1 HT 1/2, 2.80 29.00,6, bet365, 1-0/3-0,8
Soccer, 07/01 19:00, CYP1, Pre-Match, Ermis – Paralimni 0:0.25, 1 asian,1.9,10, pinnacle, 0-0,-5
Soccer, 08/01 15:00, GRECUP, Live, 25′ PAS – Panionios 0:0.25 (1-1), 1 asian,2,10, sbobet, 1-1,-5
Soccer, 08/01 17:00, GRECUP, Live, 83′ Panachaiki – PAOK (2-1), over 3.5,2.9,5, bet365, 2-1,-5
Soccer, 09/01 19:00, CYP1, Pre-Match, AEK L. – Apollon L. 0.25:0, 2 asian,2,10, sbobet, 0-0,-5
Soccer, 10/01 19:00, GRECUP, Pre-Match, Lamia – Pao, 1X,1.72,15, bet365, 1-0,10.8
Soccer, 12/01 12:00 12-01 12:00, GREU19 GREU19, Live, 45′ Levadiakos – Olympiakos U19 1:0 (1-0) (10) 80' Levadiakos - Olympiakos U19 (2-2) (10), 2 asian over 4.5, 1.85 2.00,20, bet365, 2-2,-10
Soccer, 12/01 14:30, CYP2, Live, 45′ Karmiotissa – Digenis V. (2-1), X2,3.75,5, bet365, 2-1,-5
Soccer, 12/01 15:00, GRE2, Live, 35′ Irodotos – Kerkira 0.75:0 (0-0), 2 asian,1.8,15, pinnacle, 0-2,12
Soccer, 12/01 17:00, CYP1, Live, 5′ Pafos – Salamina 0:0.25 (0-0), 1 asian,2,20, sbobet, 1-3,-20
Soccer, 12/01 18:00, CYP1, Pre-Match, Paralimni – Doksa K., 2 DNB,1.96,25, sbobet, 0-1,24
Soccer, 13/01 15:00, GRE2, Live, 10′ Doksa Dr. – Sparti 0:1 (0-0), 1 asian,1.8,15, bet365, 2-0,12
Soccer, 13/01 15:00, GRE2, Live, 1′ Karaiskakis – Apollon K. 0:0.25 (0-0), 2 asian,1.9,15, bet365, 0-2,13.5
Soccer, 13/01 15:00, GRE2, Live, 4′ Spata – Kissamikos 0.75:0 (0-0), 2 asian,1.8,25, sbobet, 0-1,10
Soccer, 13/01 15:00, GRE2, Live, 68′ Iraklis – Ergotelis (1-1), over 2.5,1.78,10, bet365, 2-1,7.8
Soccer, 16/01 17:00, CYPCUP, Live, 1′ Omonia – Apollon L. (0-0), 1 DNB,2.05,15, bet365, 1-1,0
Soccer, 19/01 11:00, GREU19, Live, 1′ PAOK – Panionios U19 0:3 (0-0), 2 asian,1.9,5, bet365, 3-1,4.5
Soccer, 19/01 14:30, CYP2, Pre-Match, Onisilos – Aris L,2,2,5, stoiximan, 0-1,5
Soccer, 19/01 15:00, GRE2, Live, 12′ Panachaiki – Platanias 0:0.25 (0-0), 1 asian,1.85,15, sbobet, 1-0,12.75
Soccer, 19/01 17:00, CYP1, Pre-Match, Omonia – Salamina,1,1.9,10, bet365, 3-1,9
Soccer, 19/01 19:00 19-01 19:00 19-01 19:00, GRE1 GRE1 GRE1, Live, 15′ Apollon Sm. – Levadiakos (0-0) (5) 65' Apollon Sm. - Levadiakos (0-0) (10) 82' Apollon Sm. - Levadiakos (0-0) (5), 1 over 0.5 over 0.5, 2.30 1.80 2.40,20, bet365, 0-0,-20
Soccer, 20/01 15:00, GRE2, Live, 12′ Aiginiakos – Irodotos (0-0),1,2,10, bet365, 0-1,-10
Soccer, 20/01 15:00, GRE1, Live, 1′ OFI – Panetolikos 0:0.25 (0-0), 1 asian,1.85,15, sbobet, 3-0,12.75
Soccer, 20/01 15:00, GRE2, Live, 7′ Sparti – Kerkira 1:0 (0-0), 2 asian,1.9,15, bet365, 1-2,0
Soccer, 21/01 19:00, CYP1, Pre-Match, Doksa K. – AEK L.,2,1.91,15, bet365, 0-5,13.65
Soccer, 23/01 17:00, CYPCUP, Live, 3′ Pafos – Aris L 0:1.25 (0-0), 1 asian,1.85,15, sbobet, 4-1,12.75
Soccer, 23/01 17:15, GRECUP, Pre-Match, AEK – Kissamikos 0:1, 1 asian HT,1.87,10, bet365, 2-0,8.7
Soccer, 24/01 19:30 24-01 19:30 24-01 19:30, GRECUP GRECUP GRECUP, Pre-Match, Pao – Lamia (20) 21' Pao - Lamia 0:1 (0-0) (10) 80' Pao - Lamia (0-0) (10), To Qualify Pao 1 asian over 0.5, 2.05 2.00 2.20,40, bet365, 1-0/ No,-8
Soccer, 25/01 19:00, CYP2, Live, 70′ Thoi – Digenis (0-0),2,5.5,5, bet365, 0-0,-5
Soccer, 26/01 14:30, CYP2, Live, 10′ Olympiakos L – PAEEK 0:1 (0-0), 1 asian HT,1.85,5, bet365, 1-0,0
Soccer, 26/01 14:30, CYP2, Live, 77′ Karmiotissa – Akritas (1-1), over 2.5,1.8,10, bet365, 2-1,8
Soccer, 26/01 17:00, CYP1, Live, 73′ Salamina – Ermis (1-0), over 1.5,1.8,10, bet365, 1-0,-10
Soccer, 26/01 17:15 26-01 17:15, GRE1 GRE1, Live, 1′ PAS – Apollon Sm. 0:0.75 (0-0) (20) 75' PAS - Apollon Sm. (1-0) (5), 1 asian over 1.5, 1.90 2.40,25, sbobet, 1-0,4
Soccer, 27/01 15:00 27-01 15:00, GRE2 GRE2, Live, 5′ Apollon K. – Sparti 0:1.25 (20) 5' Apollon K. - Sparti (10), 1 asian 1 HT, 1.85 1.85,30, bet365, 0-0/1-0,-20
Soccer, 27/01 17:15 27-01 17:15, GRE1 GRE1, Live, 15′ PAOK – OFI 0:1.25 (0-0) (20) PAOK - OFI (5), 1 asian 1 & GG, 1.85 3.75,25, bet365, 4-0,12
Soccer, 28/01 19:00, CYP1, Live, 79′ Apoel – Alki (0-0), over 0.5,2,15, bet365, 0-0,-15
Soccer, 30/01 15:00, GRE2, Live, 10′ Trikala – Apollon L (0-0),1,1.83,15, bet365, 1-1,-15
Soccer, 30/01 17:15, GRE1, Live, 70′ PAOK – PAS 0:0.75 (1-1), 1 asian,1.75,20, pinnacle, 2-1,7.5
Soccer, 30/01 17:15, GRE1, Pre-Match, PAOK – PAS, 1 & under 3.5,1.8,10, bet365, 2-1,8
Soccer, 30/01 17:15, GRE1, Live, 7′ PAOK – PAS 0:0.75 (0-0) HT, 1 asian,1.95,10, pinnacle, 1-0,4.75
Soccer, 31/01 17:15, GRE1, Pre-Match, OFI – Atromitos, X,3,10, bet365, 1-1,20
Soccer, 02/02 12:00 02-02 12:00, GREU19 GREU19, Live, 75′ Levadiakos – Pao U19 (0-1) (10) 81' Levadiakos - Pao U19 (1-1) (5), over 1.5 over 2.5, 1.90 2.40,15, bet365, 1-1,4
Soccer, 02/02 15:00 02-02 19:30, CYP2 GRE1, Pre-Match, Zakaki – Aris L Olympiakos - Panionios, 2 1, 1.61 1.10,15, bet365, 2-3 4-0,11.56
Soccer, 02/02 17:00, CYP1, Live, 83′ APOEL – Paphos (1-2), over 3.5,1.8,10, bet365, 1-2,-10
Soccer, 02/02 19:00, CYP1, Live, 75′ Anorthosi – Apollon L (1-0), over 1.5,1.75,20, bet365, 1-0,-20
Soccer, 02/02 19:30, GRE1, Live, 65′ Olympiakos – Panionios 0:0.75 (0-0), 1 asian,1.9,15, pinnacle, 4-0,13.5
Soccer, 03/02 15:00, GRE1, Pre-Match, Apollon Sm – Tripoli,2,1.75,20, bet365, 0-2,15
Soccer, 03/02 15:00, GRE1, Pre-Match, Ofi – Xanthi 0:0.25, 1 asian,1.87,20, pinnacle, 0-0,-10
Soccer, 03/02 19:00, GRE1, Pre-Match, Aris – Pas 0:1, 1 asian,1.72,10, bet365, 1-0,0
Soccer, 06/02 17:00, GRECUP, Pre-Match, Lamia – Olympiakos 1:0, 1 asian,1.82,10, sbobet, 3-3,8.2
Soccer, 07/02 17:00, GRECUP, Pre-Match, Ergotelis – Asteras Tr. 0.25:0, 2 asian,1.94,15, pinnacle, 0-1,14.1
Soccer, 08/02 19:00, CYP2, Pre-Match, Thoi – PAEEK, 1 DNB,1.72,10, bet365, 0-0,0
Soccer, 08/02 19:00, CYP2, Live, 15′ Olympiakos L – Onisilos (0-0), over 1 HT,1.95,5, bet365, 0-0,-5
Soccer, 09/02 13:00, GREU19, Live, 73′ Trikala – Kissamikos U19 (1-1), over 2.5,1.75,10, bet365, 1-1,-10
Soccer, 09/02 13:30, GREU19, Live, 19′ Platania – Ergotelis U19 (1-0), X2,1.8,10, bet365, 1-0,-10
Soccer, 09/02 15:00, CYP2, Pre-Match, Akritas – Digenis,1,1.91,5, stoiximan, 2-1,4.55
Soccer, 09/02 15:00, CYP2, Live, 83′ Asil – MEAP (3-2), over 5.5,3,5, bet365, 3-2,-5
Soccer, 09/02 17:15, GRE1, Live, 17′ Panionios – Apollon Sm. (0-0),1,1.75,20, bet365, 0-1,-20
Soccer, 09/02 19:30, GRE1, Live, 3′ PAS – Pao 0.25:0, 1 asian,1.85,10, bet365, 1-0,8.5
Soccer, 10/02 15:00, GRE2, Live, 1′ Aittitos – Platanias (0-0), 1X,2.1,15, bet365, 0-0,16.5
Soccer, 10/02 15:00, GRE2, Live, 35′ Kerkyra – Apollon L. 0:0.75 (0-1), 1 asian,1.9,15, bet365, 1-2,-15
Soccer, 10/02 15:00, GRE2, Live, 63′ Aiginiakos – Panachaiki (0-0), over 0.5,1.8,10, bet365, 0-0,-10
Soccer, 10/02 15:00, GRE1, Live, 72′ AEK – OFI (1-0), over 1.5,1.8,15, bet365, 1-0,-15
Soccer, 10/02 17:00, CYP1, Live, 81′ Omonia – Doksa K. (1-2), over 3.5,2.35,10, bet365, 2-2,13.5
Soccer, 10/02 18:00, CYP1, Live, 25′ AEK L. -Alki (0-0), over 0.5 HT,1.85,5, bet365, 1-0,4.25
Soccer, 10/02 19:30, GRE1, Live, 60′ Atromitos – Levadiakos (1-0), over 1.5,1.85,10, bet365, 1-0,-10
Soccer, 11/02 19:00, GRE1, Live, 2′ Panetolikos – Larisa 0:0.25 (0-0), 1 asian,1.89,15, sbobet, 2-2,-7.5
Soccer, 11/02 19:00, GRE1, Live, 67′ Panetolikos – Larisa (2-1), over 3.5,1.85,5, sbobet, 2-2,4.25
Soccer, 16/02 10:30, GREU19, Live, 22′ Levadiakos – Panetolikos U19 (0-0), over 2,1.85,5, bet365, 1-2,4.25
Soccer, 16/02 15:00, CYP2, Live, 79′ Omonia Ar – Aris (0-0), over 0.5,1.8,5, bet365, 0-1,4
Soccer, 16/02 15:00, CYP2, Live, 80′ MEAP – Olympiakos L (1-1),2,1.9,5, bet365, 1-2,4.5
Soccer, 16/02 15:00, CYP2, Live, 28′ MEAP – Olympiakos L. (1-1), 2 HT,1.95,5, bet365, 1-1,-5
Soccer, 16/02 19:00, GRE1, Live, 74′ Pao – Tripoli (1-0), over 0.5,2.2,5, pinnacle, 1-0,-5
Soccer, 16/02 19:30, GRE1, Pre-Match, PAS – Atromitos, X,2.9,5, bet365, 0-2,-5
Soccer, 17/02 15:00, GRE1, Pre-Match, Larisa – Xanthi, X2,1.74,10, bet365, 1-1,7.4
Soccer, 17/02 16:00 17-02 16:00, CYP1 CYP1, Pre-Match, Anorthosi – Omonia (10) 78' Anorthosi - Omonia (0-0) (5), 1 over 0.5, 2.40 2.50,15, bet365, 0-0,-15
Soccer, 17/02 18:00, CYP1, Live, 70′ Doksa K. – Ermis (1-0), over 1.5,1.8,15, bet365, 1-1,12
Soccer, 17/02 19:30, GRE1, Live, 70′ Olympiakos -AEK (1-1), over 2.5,2,10, bet365, 4-1,10
Soccer, 18/02 19:00, GRE1, Live, 5′ Apollon Sm. – PAOK (0-0 ck), over 9.5,1.8,10, bet365, 5-5,8
Soccer, 18/02 19:30, GRE1, Live, 20′ OFI – Lamia 0:0.25 (0-0), 1 asian,1.83,15, pinnacle, 0-3,-15
