SPORT, DATE, COMP, BET-TYPE, MATCH-UP, BET, ODDS, STAKE, BOOK, RESULT, +/-
Soccer, 30/09 18:15, GRE1, Live, 1′ Levadiakos – Atromitos 0.25:0 (0-0), 1 asian,1.85,15, pinnacle, 0-2,-15
Soccer, 30/09 19:30, GRE1, Pre-Match, Aris – Asteras Tr., X2,1.7,15, bet365, 2-0,-15
Soccer, 30/09 20:30, GRE1, Pre-Match, Olympiakos – PAOK 0:0.75, 2 asian,1.8,15, bet365, 0-1,12
Soccer, 07/10 15:00, GREU19, Pre-Match, Panetolikos U19 – Levadiakos U19 0:1.75, 2 asian,2.05,15, bet365, 4-2,-7.5
Soccer, 07/10 16:00, GRE3, Pre-Match, Edessaikos – Agrotikos Ast., X2,1.85,5, stoiximan, 2-1,-5
Soccer, 07/10 16:00, GRE3, Pre-Match, Aiolikos – Kallithea,1,2.25,5, stoiximan, 2-1,6.25
Soccer, 07/10 16:00, GRE3, Pre-Match, Aspida Ks. – Aris Av.,2,2.12,5, stoiximan, 0-3,5.6
Soccer, 12/10 16:00, FRIE, Live, 5′ Ermis Ar. – Omonia 0.75:0 (1-0), 2 asian,1.8,15, bet365, 2-3,12
Soccer, 12/10 16:30, FRIE, Live, 77′ Apollon L. – Trikala (1-1),2,3,10, bet365, 1-3,20
Soccer, 13/10 16:30 13-10 16:30, FRIE FRIE, Pre-Match, Volos – Panachaiki (15) Volos - Panachaiki (5), 1X 1 DNB, 2.20 3.50,20, bet365, 4-1,30.5
Soccer, 13/10 21:45, NL, Live, 25′ Bulgaria – Cyprus (0-0),1,2,10, pinnacle, 2-1,10
Soccer, 14/10 16:00 14-10 16:00 14-10 16:00 14-10 16:00, GRE3 GRE3 GRE3 GRE3, Pre-Match, Kilkis – PAO Kosmiou (5) Atsalenios - Proodeutiki (5) Makedonikos Foufa - Thesprotos (5) Mak. Siatistas - Kronos Arg. (5), 1 1 1 1 DNB, 1.95 2.00 1.95 1.97,20, stoiximan, 0-0 1-0 2-1 0-0,4.75
Soccer, 16/10 21:45, NL, Live, 45′ Slovenia – Cyprus 0:0.5 (0-1), 1 asian,1.78,10, pinnacle, 1-1,7.8
Soccer, 17/10 15:30, CYPW, Live, 25′ Barcelona W -Apollon L W. (1-0), under 3.5,1.8,5, bet365, 2-1,4
Soccer, 19/10 19:00, CYP2, Pre-Match, Othellos – Ethnikos Achnas, 1 DNB,1.9,10, bet365, 0-0,0
