SPORT, DATE, COMP, BET-TYPE, MATCH-UP, BET, ODDS, STAKE, BOOK, RESULT, +/-
Soccer, 03/11 17:15, ESP1, Live, 77′ Real Madrid – Valladolid (0-0), over 0.5, 1.79, 20, pinnacle, 2-0, +15.8,
Soccer, 03/11 19:00, ECU2, Live, 2′ Mushuc Runa – America Quito 0:0.25 (0-0), 2 asian, 1.99, 20, pinnacle, 0-0, +9.9,
Soccer, 03/11 20:00, MEXU20, Live, 3′ Pachuca U20 – Necaxa U20 0:0 (0-0), 1 asian, 1.75, 20, bet365, 2-2, 0,
Soccer, 03/11 21:30, URU1, Live, 10′ Progreso – Atenas 0:0.75 (0-0), 1 asian, 1.94, 20, pinnacle, 5-0, +18.86,
Soccer, 04/11 01:00, MEX1, Pre-Match, Pachuca – Necaxa 0:0.75, 1 asian, 1.91, 25, pinnacle, 6-2, +22.72,
Soccer, 04/11 01:00, COL1, Pre-Match, Bucaramanga – Deportivo Cali 0:0, 1 asian, 1.92, 20, pinnacle, 1-0, +18.34,
Soccer, 04/11 03:00, MEX1, Pre-Match, Club America – Toluca, over 2.5, 1.73, 25, pinnacle, 1-1, -25,
Soccer, 04/11 17:00, MEXU20, Live, 3′ Queretaro U20 – Santos Laguna U20 0:0.5 (0-0), 1 asian, 1.93, 25, bet365, 1-2, -25,
Soccer, 04/11 18:00, CHI2, Live, 88′ Nublense – Copiapo (2-4 cks), under 6.5 cks, 1.75, 20, bet365, 3-4, -20,
Soccer, 04/11 18:00 04-11 18:00 04-11 18:00, CHI2 CHI2 CHI2, Live, 77′ Santiago Wanderers – San Marcos Arica (2-1) (20) 89' Santiago Wanderers - San Marcos Arica (2-2) (5) 89' Santiago Wanderers - San Marcos Arica (2-2) (5), over 3.75 SAW 5th goal SMA 5th goal, 1.95 4.00 8.00, 30, bet365, 2-2, -0.5,
Soccer, 04/11 20:30, PER1, Live, 4′ Sport Boys – Sport Huancayo 0:0.5 (0-0), 1 asian, 1.86, 20, pinnacle, 2-0, +17.24,
Soccer, 04/11 21:30, URU1, Live, 70′ Rampla Juniors – Cerro (2-2), over 4.75, 1.80, 20, bet365, 2-2, -20,
Soccer, 04/11 21:30, URU1, Live, 84′ Defensor Sporting – Penarol (1-1), over 2.5, 2.20, 20, bet365, 1-2, +24,
Soccer, 04/11 22:00, COST1, Pre-Match, Perez Zeledon – Grecia 0:0.25, 1 asian, 1.93, 20, pinnacle, 2-1, +18.5,
Soccer, 06/11 20:00, PERRES, Pre-Match, San Martin B’ – Real Garcilaso B’ 0:0.75, 1 asian, 2.00, 20, bet365, 2-0, +20,
Soccer, 09/11 01:00, VEN1, Pre-Match, Monagas – Caracas 0.25:0, 1 asian, 1.85, 20, pinnacle, 1-2, -20,
Soccer, 09/11 18:00, ECURES, Pre-Match, Tecnico Universitario – LDU Quito, 2 DNB, 1.72, 20, bet365, 2-5, +14.4,
Soccer, 10/11 19:00, MEXU20, Live, 67′ Tigres U20 – Puebla U20 (1-2), over 3.75, 1.85, 20, bet365, 1-2, -20,
Soccer, 10/11 22:30, PER1, Live, 7′ Comerciantes Unidos – San Martin (0-0), over 2.5, 2.15, 25, bet365, 3-1, +28.75,
Soccer, 10/11 23:00, BRA1, Pre-Match, Botafogo – Flamengo 0.5:0, 1 asian, 1.96, 20, pinnacle, 2-1, +19.22,
Soccer, 10/11 23:00, GUAT, Live, 76′ Marquense – Suchitepequez (1-1), over 2.5, 1.85, 20, bet365, 2-1, +17,
Soccer, 11/11 00:15, ECU1, Live, 4′ Tecnico Universitario – LDU Quito 0.75:0 (0-0), 2 Asian, 2.00, 40, pinnacle, 2-1, -40,
Soccer, 11/11 00:45, PER1, Live, 75′ Real Garcilaso – Universitario (0-1), over 1.75, 1.91, 20, pinnacle, 0-1, -20,
Soccer, 11/11 00:45, PER1, Live, 80′ Real Garcilaso – Universitario (0-1), over 1.5, 1.79, 15, pinnacle, 0-1, -15,
Soccer, 11/11 17:30, CHI2, Live, 2′ Dep. Valdivia – Santiago Wanderers 0:0.25, 2 asian, 1.95, 20, bet365, 0-4, +19,
Soccer, 11/11 19:00, PERCUP, Live, 13′ Credicoop – Molinos Pirata 0:0.75 (0-0), 1 asian, 1.90, 15, bet365, abd., 0,
Soccer, 11/11 19:30, GRE1, Live, 88′ Olympiakos – Panathinaikos (10-0 cks), over 10.5 ck, 1.70, 15, bet365, 11-0, +10.5,
Soccer, 11/11 21:30, ECU1, Pre-Match, Aucas – Macara 0:0.25, 2 asian, 1.82, 25, pinnacle, 2-1, -25,
Soccer, 11/11 22:00, PERCUP, Live, 24′ Alianza Universidad – Atletico Torino 0:0.5 (0-0), 1 asian, 1.93, 15, bet365, 2-1, +13.88,
Soccer, 11/11 23:00, PERCUP, Live, 3′ Las Palmas – UDA 0:0.25 (0-0), 2 asian, 1.90, 15, bet365, 3-2, -15,
Soccer, 11/11 23:00, COST1, Live, 86′ Perez Zeledon – Cartagines (0-0), over 0.5, 2.60, 10, bet365, 1-1, +16,
Soccer, 12/11 00:00, ECU1, Live, 71′ Un. Catolica – Barcelona (2-2), over 4.5, 1.70, 25, bet365, 2-2, -25,
Soccer, 12/11 00:30, COL1, Live, 31′ Leones – Atletico Nacional (1-0), 2, 2.25, 20, bet365, 2-2, -20,
Soccer, 13/11 02:15, ECU1, Pre-Match, Guayaquil City – El Nacional, over 2.5, 1.70, 20, bet365, 1-0, -20,
Soccer, 17/11 19:00, ESP2, Pre-Match, Osasuna – Tenerife 0:0.75, 1 asian, 1.93, 20, pinnacle, 2-0, +18.68,
Soccer, 18/11 21:00, BRA1, Pre-Match, Sport Recife – Flamengo 0.25:0, 1 asian, 1.97, 20, pinnacle, 0-1, -20,
Soccer, 21/11 20:30, GUAT, Live, 65’ Municipal – Siquinala (1-2), over 4, 1.85, 10, bet365, 1-2, -10,
Soccer, 21/11 20:30, GUAT, Pre-Match, Municipal – Siquinala, 1, 1.83, 20, bet365, 1-2, -20,
Soccer, 21/11 21:00, GUAT, Live, 11’ Iztapa – Quiche 0:0.75 (0-0), 1 asian, 1.90, 20, bet365, 1-0, +9,
Soccer, 24/11 03:10, ECU1, Pre-Match, Cuenca – Macara 0:0, 2 asian, 2.01, 20, pinnacle, 1-1, 0,
Soccer, 24/11 05:00, MEX1, Pre-Match, Puebla – Tijuana 0:0, 1 asian, 1.73, 20, bet365, 0-0, 0,
Soccer, 24/11 17:00, CHI1, Live, 14’ Huachipato – Colo Colo 0:0 (0-0), 1 asian, 1.79, 20, pinnacle, 1-2, -20,
Soccer, 24/11 17:00, CHI1, Live, 74’ Antofagasta – Union Espanola (1-1), over 2.5, 1.72, 20, bet365, 1-1, -20,
Soccer, 24/11 20:30, PERCUP, Pre-Match, Molinos – Santos, 1 DNB, 1.80, 20, bet365, 4-0, +16,
Soccer, 24/11 22:30, PERCUP, Pre-Match, Alianza Universidad – UDA, X2, 1.80, 10, bet365, 0-1, +8,
Soccer, 24/11 22:30, PERCUP, Pre-Match, Alianza Universidad – UDA, 2 DNB, 1.83, 20, bet365, 0-1, +16.6,
Soccer, 25/11 19:00, GUAT, Pre-Match, Sanarate – Guastatoya 0.25:0 (0-0), 1 asian, 1.85, 20, bet365, 1-0, +17,
Soccer, 25/11 22:30, CHI1, Live, 35′ Un. de Chile – Iquique 0:0.75 (0-0), 1 asian, 1.87, 20, bet365, 0-0, -20,
Soccer, 28/11 20:30, PERCUP, Pre-Match, Santos – UDA, 2, 1.90, 20, bet365, 3-1, -20,
Soccer, 28/11 22:30, PERCUP, Pre-Match, Molinos – Alianza Universidad, 2, 3.40, 20, bet365, 1-3, +48,
Soccer, 29/11 04:00, COST1, Pre-Match, Saprissa – Herediano 0:0.5, 1 Asian, 1.85, 20, pinnacle, 1-0, +17,
Soccer, 02/12 19:00, ECU1, Live, 86′ Univ. Catolica – Cuenca (1-1), over 2.5, 2.50, 15, bet365, 1-2, +22.5,
