SPORT, DATE, COMP, BET-TYPE, MATCH-UP, BET, ODDS, STAKE, BOOK, RESULT, +/-
Soccer, 16/09 04:00, COL1, Pre-Match, Deportes Tolima – Patriotas 0:0.5, 1 asian, 2.06, 20, pinnacle, 2-1, +21.2,
Soccer, 16/09 22:00, VEN1, Live, 18′ Deportivo Zulia – Trujillanos 0:0.25 (0-0), 2 live asian, 2.03, 20, bet365, 0-1, +20.5,
Soccer, 16/09 22:00, BOL1, Pre-Match, Guabira – Nacional Potosi 0:0.75, 1 asian, 1.84, 25, pinnacle, 4-0, +21,
Soccer, 16/09 23:30, PER2, Live, 45′ Coopsol – Santa Rosa 0:0.25 (0-0), 2 live asian, 1.85, 20, bet365, 0-0, +8.5,
Soccer, 17/09 03:06, MEX1, Pre-Match, Leon – Pachuca, over 2.75, 1.80, 30, bet365, 3-1, +24,
Soccer, 17/09 20:00, MEX1, Live, 21′ Toluca – Queretaro 0:0.5 (0-0), 1 live asian, 1.90, 20, bet365, 3-2, +16,
Soccer, 17/09 22:00, URU1, Live, 1′ Nacional – Penarol 0.25:0 (0-0), 1 live asian, 1.85, 18, bet365, 0-2, -20,
Soccer, 17/09 23:30, VEN1, Live, 0′ Estudiantes Merida – Anzoategui 0:0.5 (0-0), 2 live asian, 1.80, 20, bet365, 1-0, -20,
Soccer, 23/09 21:30, CHI1, Pre-Match, Antofagasta – Union Espanola 0:0.5, 2 asian, 1.94, 20, pinnacle, 0-0, +18.8,
Soccer, 24/09 02:00, URU1, Pre-Match, Racing Club – Nacional 0.75:0, 2 asian, 1.95, 40, pinnacle, 0-1, +19,
Soccer, 24/09 20:00, COST1, Pre-Match, Santos Guapiles – Deportivo Saprissa, over 2.5, 1.76, 25, pinnacle, 3-2, +19,
Soccer, 24/09 23:30, PER1, Pre-Match, Alianza Lima – Sporting Cristal 0:0, 1 asian, 1.71, 30, pinnacle, 2-1, +21.3,
Soccer, 27/09 23:00, VENCUP, Pre-Match, Zulia – Urena 0:0.5, 1 asian, 1.71, 35, pinnacle, 1-1, -35,
Soccer, 30/09 03:10, PAR1, Pre-Match, Guarani – General Diaz 0:0.5, 1 asian, 1.88, 20, pinnacle, 0-1, -20,
Soccer, 01/10 00:00, CHI1, Live, 21′ Huachipato – Santiago Wanderers (0-0), over 2, 1.83, 20, bet365, 1-0, -20,
Soccer, 01/10 05:00, MEX1, Pre-Match, Toluca – Club America 0:0.25, 2 asian, 1.81, 20, pinnacle, 1-2, +16.2,
Soccer, 01/10 18:00, VEN1, Live, 7′ Metropolitanos – Dep. La Guaira (0-1), under 3.25, 1.80, 20, bet365, 2-1, +8,
Soccer, 01/10 20:00, COST1, Live, 16′ Alajuelense – Municipal Grecia (0-0), over 2.75, 1.90, 25, bet365, 3-0, +11.25,
Soccer, 01/10 23:30, PER2, Live, 25′ Dep. Hualgayoc – Carlos Mannucci (0-0), 1 live asian, 1.80, 20, bet365, 4-0, +16,
Soccer, 01/10 23:30, PER2, Live, 74′ Cienciano – Santa Rosa (1-1), over 2.5, 1.73, 20, bet365, 2-1, +14.5,
Soccer, 02/10 01:15, COL1, Pre-Match, America Cali – Cortulua 0:0.75, 1 asian, 1.88, 20, pinnacle, 2-1, +8.8,
Soccer, 02/10 22:00, VEN2, Live, 22′ LALA – Atletico Venezuela II (0-0), over 2.5, 1.90, 10, stoiximan, 3-0, +9,
Soccer, 04/10 22:00, VEN1, Pre-Match, Atletico Socopo – Aragua 0:0, 1 asian, 1.75, 20, bet365, 2-2, 0,
Soccer, 04/10 22:00, VEN1, Pre-Match, Deportivo Zulia – Zamora 0.25:0, 1 asian, 1.83, 20, bet365, 3-1, +16.5,
Soccer, 07/10 17:15, ESP2, Live, 13′ Sporting Gijon – Sevilla B’ 0:0.75 (0-0), 1 live asian, 1.96, 20, pinnacle, 3-0, +19.2,
Soccer, 07/10 22:30, CHI2, Live, 7′ Colina – Dep. Linares 0:0.5 (0-0), 1 live asian, 1.83, 10, bet365, 1-0, +8.3,
Soccer, 08/10 00:00, ECU1, Pre-Match, El Nacional – Macara, over 2.25, 1.75, 30, pinnacle, 1-0, -30,
Soccer, 08/10 20:00, ECU2, Pre-Match, Aucas – LDU Portoviejo 0:0.5, 1 asian, 1.93, 25, bet365, 4-0, +23.12,
Soccer, 08/10 22:30, URU1, Pre-Match, El Tanque Sisley – Montevideo Wanderers 0:0, 2 asian, 1.70, 20, pinnacle, 1-1, 0,
Soccer, 08/10 23:30, PER2, Live, 77′ Union Huaral – Defensor La Bocana (2-2), over 4.5, 1.78, 10, bet365, 3-2, +7.75,
Soccer, 08/10 23:30, PER2, Live, 74′ Sport Boys – Coopsol (2-2), over 4.5, 1.73, 25, bet365, 2-2, -25,
Soccer, 11/10 22:00, URU2, Live, 7′ Canadian – Atenas (0-0), 2 DNB, 2.10, 20, bet365, 0-1, +22,
Soccer, 13/10 21:15, PER1, Pre-Match, Union Comercio – Real Garcilaso 0:0.5, 2 asian, 1.70, 20, bet365, 1-2, +14,
Soccer, 14/10 00:00, VEN1, Live, 45′ Deportivo Tachira – Deportivo Anzoategui 0:0.5 (1-1), 1 live asian, 1.73, 30, bet365, 3-2, +21.75,
Soccer, 14/10 22:30, URU1, Live, 6′ Fenix – Racing Club (0-0), over 2.5, 2.00, 20, bet365, 1-2, +20,
Soccer, 14/10 23:30, ECU2, Live, 17′ Santa Rita – America Quito (0-0), 1, 1.80, 20, bet365, 2-1, +16,
Soccer, 15/10 01:00, MEX1, Live, 3′ Cruz Azul – Club America 0:0.25 (0-0), 2 live asian, 1.91, 20, pinnacle, 1-3, +18.2,
Soccer, 15/10 21:30, CHI1, Live, 22′ Colo Colo – Santiago Wanderers 0:0.75 (0-0), 1 live asian, 1.80, 30, pinnacle, 2-0, +24,
Soccer, 15/10 22:30, URU1, Live, 75′ Nacional – El Tanque Sisley (1-1), over 2.5, 1.78, 30, bet365, 1-2, +23.25,
Soccer, 16/10 00:00, COST2, Live, 76′ CS Uruguay – Consultants Moravia (1-1), over 2.5, 1.73, 10, bet365, 2-1, +7.25,
Soccer, 16/10 02:30, BOL1, Pre-Match, Sport Boys – Oriente Petrolero 0:0.25, 2 asian, 1.86, 25, pinnacle, 1-1, +10.75,
Soccer, 17/10 22:30, VEN1, Live, 24′ Deportivo La Guaira – Aragua 0:0.75 (0-1), 1 live asian, 1.91, 20, pinnacle, 1-1, +9.09,
Soccer, 18/10 22:00, VEN1, Live, 79′ Atletico Socopo – Mineros (0-0), over 0.5, 1.66, 40, bet365, 0-0, -40,
Soccer, 18/10 22:00, BOL1, Live, 13′ Guabira – Univesritario Sucre 0:0.5 (0-0), 1 live asian, 1.90, 20, bet365, 2-1, +18,
Soccer, 19/10 03:06, MEX1, Pre-Match, Pachuca – Toluca 0:0.25, 1 asian, 1.85, 20, pinnacle, 2-2, -10,
Soccer, 21/10 23:15, PER1, Pre-Match, Real Garcilaso – Universitario 0:0.75, 1 asian, 1.88, 20, bet365, 1-2, -20,
Soccer, 21/10 23:30, PER2, Live, 6′ Union Huaral – Cesar Vallejo (0-2), under 5, 1.85, 20, bet365, 0-4, +17,
Soccer, 21/10 23:30, PER2, Live, 80′ Sport Boys – Cienciano (1-2), over 3.5, 1.98, 25, bet365, 1-2, -25,
Soccer, 22/10 00:00, ECU2, Live, 68′ Olmedo – Manta (2-1), over 3.5, 1.73, 19, bet365, 2-1, -20,
Soccer, 22/10 03:06, MEX1, Pre-Match, Pachuca – Puebla 0:0.5, 1 asian, 1.78, 40, pinnacle, 1-0, +31,
Soccer, 22/10 21:30, CHI1, Pre-Match, Universidad Concepcion – O’Higgins 0:0.5, 2 asian, 1.83, 20, pinnacle, 2-2, +16.52,
Soccer, 22/10 22:30, VEN1, Live, 15′ Zulia – Atletico Socopo (0-0), over 2.5, 1.70, 30, bet365, 3-0, +21,
Soccer, 22/10 22:30, VEN1, Live, 75′ Zamora – Carabobo (1-1), over 2.5, 1.80, 25, bet365, 2-1, +20,
Soccer, 22/10 23:30, CHI2, Live, 75′ Cobreloa – Magallanes (1-1), over 2.5, 1.75, 25, bet365, 1-2, +18.75,
Soccer, 22/10 23:30, CHI2, Live, 80′ Cobreloa – Magallanes (1-2), over 3.5, 1.78, 15, bet365, 1-2, -15,
Soccer, 23/10 00:00, ECU1, Live, 69′ Guayaquil City – Clan Juvenil (0-0), over 0.5, 1.75, 20, bet365, 0-0, -20,
Soccer, 23/10 00:15, BOL1, Pre-Match, San Jose – The Strongest 0:0, 2 asian, 1.76, 20, pinnacle, 4-0, -20,
Soccer, 23/10 00:15, BOL1, Pre-Match, Real Potosi – Oriente Petrolero, 1, 1.70, 40, bet365, 1-0, +28,
Soccer, 25/10 20:00, ECU2, Live, 73′ Mushuc Runa – Liga de Loja (0-1), over 1.5, 1.75, 25, bet365, 2-1, +18.75,
Soccer, 26/10 00:00, ECU2, Live, 79′ Santa Rita – LDU Portoviejo (0-0), over 0.5, 2.10, 15, bet365, 0-0, -15,
Soccer, 29/10 04:06, MEX1, Pre-Match, Chivas – Tijuana 0:0.5, 2 asian, 1.78, 25, pinnacle, 3-1, -25,
Soccer, 29/10 18:00, PER1, Live, 16′ Sporting Cristal – Academia Cantolao 0:0.75 (0-0), 1 asian, 1.89, 20, pinnacle, 3-0, +17.8,
Soccer, 29/10 21:30, VEN1, Pre-Match, Carabobo – Metropolitanos, under 1 HT, 2.08, 20, pinnacle, 1-1, -20,
Soccer, 29/10 21:30, VEN1, Live, 74′ Carabobo – Metropolitanos (1-1), over 2.5, 1.72, 35, bet365, 1-1, -35,
Soccer, 29/10 22:00, COL2, Live, 15′ Orsomarso – Real Cartagena (0-0), over 2, 1.86, 20, pinnacle, 3-1, +17.2,
Soccer, 29/10 22:00, COST2, Live, 80′ Consultants Moravia – Curridabat (0-0), over 0.5, 2.25, 10, bet365, 0-0, -10,
Soccer, 29/10 22:30, PER2, Live, 74′ Santa Rosa – Sport Boys (0-0), over 0.5, 1.75, 30, bet365, 0-0, -30,
